STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,AFE,Africa Eastern and Southern,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,9115.978098711184,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,AFW,Africa Western and Central,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,8200.821471033245,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ARB,Arab World,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,47308.37183989021,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,CSS,Caribbean small states,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,39705.20437624976,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,CEB,Central Electricity Board (CEB),WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,38325.8156358651,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,EAR,Early-demographic dividend,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,15333.41702256866,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,EAS,East Asia & Pacific,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,11828.3241635883,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,EAP,East Asia & Pacific (excluding high income),WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,5251.502718940523,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,TEA,East Asia & Pacific (IDA & IBRD),WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,5251.502718940522,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,EMU,Euro area,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,92182.32477063165,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per person employed (constant 2021 PPP $),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
