Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0004138,Invoice,2024-09-27,Sep 2024,INV-470153,Open,Yes,Umbrella Inc,4100,Services Revenue,Quarterly true-up,SKU-ENSO-PRO,Enso Pro License,7.59,Each,1756.97,USD,1.0,23170.73,2201.22,25371.95,23170.73,Enso EU,EU-Central,Operations,SMB,Net 15,,
TXN-0004139,Invoice,2024-09-23,Sep 2024,INV-194775,Open,Yes,Acme Inc,4200,Product Revenue,Promotion credit,SKU-ENSO-PRO,Enso Pro License,4.93,Each,1389.1,USD,1.0,10916.09,0.0,10916.09,10916.09,Enso EU,UK-South,Marketing,Internal,Due on Receipt,,
TXN-0004140,Bill,2024-09-30,Sep 2024,BIL-615273,Paid In Full,Yes,KPMG,5000,COGS,Hardware purchase,SKU-SUP-PREM,Premium Support,9.58,Month,728.07,USD,1.0,14742.61,1289.98,16032.59,14742.61,Enso UK,UK-South,Operations,Enterprise,Net 30,,
TXN-0004141,Transfer,2024-09-05,Sep 2024,TRA-583002,Completed,Yes,KPMG,5100,Freight Out,Monthly charge,,,,,,USD,1.0,33790.41,0.0,33790.41,33790.41,Enso EU,UK-South,Sales,SMB,,,
TXN-0004142,Journal Entry,2024-09-05,Sep 2024,JOU-927978,Posted,Yes,Microsoft,5100,Freight Out,Consulting services,,,,,,USD,1.0,30614.71,0.0,30614.71,30614.71,Enso EU,US-West,Marketing,Internal,,,
TXN-0004143,Credit Memo,2024-09-14,Sep 2024,CRE-182230,Applied,Yes,Wonka Inc,4000,Revenue,Inventory receipt,SKU-ENSO-TEAM,Enso Team License,4.78,Each,825.42,USD,1.0,-13190.76,0.0,-13190.76,-13190.76,Enso UK,UK-South,R&D,SMB,,,
TXN-0004144,Customer Payment,2024-09-26,Sep 2024,CUS-534069,Deposited,Yes,Soylent Corp,4100,Services Revenue,Travel & meals,,,,,,USD,1.0,18718.2,0.0,18718.2,18718.2,Enso UK,US-West,Finance,Enterprise,,Check,
TXN-0004145,Vendor Payment,2024-09-17,Sep 2024,VEN-315839,Processed,Yes,Salesforce,6200,G&A Expense,Support plan,,,,,,USD,1.0,6576.4,0.0,6576.4,6576.4,Enso US,EU-Central,Operations,Enterprise,,ACH,
TXN-0004146,Item Receipt,2024-09-08,Sep 2024,ITE-777395,Received,Yes,Stripe,1200,Inventory,Monthly charge,SKU-ENSO-PRO,Enso Pro License,4.02,Each,368.07,USD,1.0,11283.25,1071.91,12355.16,11283.25,Enso EU,US-West,HR,Mid-Market,,,
TXN-0004147,Vendor Credit,2024-09-18,Sep 2024,VEN-338098,Open,Yes,Dell,5000,COGS,Hardware purchase,SKU-SUP-STD,Standard Support,7.11,Month,2134.79,USD,1.0,-6890.75,0.0,-6890.75,-6890.75,Enso EU,UK-South,Operations,SMB,,,
TXN-0004148,Invoice,2024-09-14,Sep 2024,INV-764758,Paid In Full,Yes,Globex Partners,4100,Services Revenue,Quarterly true-up,SKU-SUP-STD,Standard Support,1.0,Month,504.41,USD,1.0,3757.34,187.87,3945.21,3757.34,Enso UK,US-West,R&D,Enterprise,Due on Receipt,,
TXN-0004149,Customer Payment,2024-09-14,Sep 2024,CUS-905305,Undeposited,Yes,Vehement LLC,4000,Revenue,Subscription,,,,,,GBP,1.27,9357.1,0.0,9357.1,11883.52,Enso EU,US-West,HR,Internal,,Wire,
TXN-0004150,Expense Report,2024-09-28,Sep 2024,EXP-626860,Approved,Yes,Oracle,6000,Sales & Marketing,Travel & meals,SKU-SUP-STD,Standard Support,2.94,Month,2976.82,USD,1.0,8604.16,430.21,9034.37,8604.16,Enso EU,US-East,Operations,Mid-Market,,,
TXN-0004151,Customer Payment,2024-09-28,Sep 2024,CUS-431799,Undeposited,Yes,Vehement LLC,4000,Revenue,Promotion credit,,,,,,USD,1.0,4421.3,0.0,4421.3,4421.3,Enso EU,EU-Central,Sales,SMB,,Check,
TXN-0004152,Customer Payment,2024-09-28,Sep 2024,CUS-886644,Undeposited,Yes,Acme Partners,4000,Revenue,Inventory receipt,,,,,,EUR,1.09,24946.43,0.0,24946.43,27191.61,Enso UK,EU-Central,Sales,Mid-Market,,ACH,
