Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From,Approval User
TXN-0005572,Expense Report,2024-12-27,Dec 2024,EXP-147118,Pending Approval,Yes,Oracle,6100,R&D Expense,Cloud services,SKU-ENSO-TEAM,Enso Team License,6.86,Each,2118.39,USD,1.0,14353.03,717.65,15070.68,14353.03,Enso UK,US-West,Finance,SMB,,,,
TXN-0005573,Invoice,2024-12-03,Dec 2024,INV-426937,Partially Paid,Yes,Soylent Partners,4000,Revenue,License renewal,SKU-ENSO-PRO,Enso Pro License,10.85,Each,1192.19,USD,1.0,3861.64,193.08,4054.72,3861.64,Enso UK,US-East,Marketing,Mid-Market,Due on Receipt,,,
TXN-0005574,Invoice,2024-12-18,Dec 2024,INV-417323,Partially Paid,Yes,Aperture LLC,4000,Revenue,Promotion credit,SKU-SUP-STD,Standard Support,5.65,Month,2572.08,USD,1.0,11216.67,981.46,12198.13,11216.67,Enso UK,US-West,Finance,Mid-Market,Net 30,,,Noah Smith
TXN-0005575,Invoice,2024-12-15,Dec 2024,INV-838512,Paid In Full,Yes,Wayne Inc,4200,Product Revenue,Monthly charge,SKU-SUP-STD,Standard Support,5.09,Month,379.36,USD,1.0,1958.62,171.38,2130.0,1958.62,Enso EU,US-West,Operations,Mid-Market,Net 30,,,Priya Shah
TXN-0005576,Journal Entry,2024-12-13,Dec 2024,JOU-883243,Posted,Yes,Deloitte,5100,Freight Out,Subscription,,,,,,USD,1.0,1077.73,0.0,1077.73,1077.73,Enso EU,US-East,R&D,SMB,,,,Elena Petrova
TXN-0005577,Credit Memo,2024-12-13,Dec 2024,CRE-573586,Open,Yes,Globex Corp,4000,Revenue,Promotion credit,SKU-SUP-STD,Standard Support,2.63,Month,1484.36,USD,1.0,-9318.45,0.0,-9318.45,-9318.45,Enso UK,EU-Central,Finance,Enterprise,,,,Noah Smith
TXN-0005578,Expense Report,2024-12-07,Dec 2024,EXP-523625,Paid,Yes,Deloitte,6200,G&A Expense,Cloud services,SKU-SUP-STD,Standard Support,7.7,Month,977.81,USD,1.0,9732.91,486.65,10219.56,9732.91,Enso EU,US-West,HR,SMB,,,,
TXN-0005579,Invoice,2024-12-20,Dec 2024,INV-451406,Partially Paid,Yes,Tyrell Partners,4100,Services Revenue,Cloud services,SKU-SUP-STD,Standard Support,7.18,Month,1332.4,USD,1.0,23091.92,2193.73,25285.65,23091.92,Enso UK,UK-South,Marketing,Internal,Net 45,,,Liam O'Connor
TXN-0005580,Invoice,2024-12-15,Dec 2024,INV-600686,Partially Paid,Yes,Hooli Inc,4200,Product Revenue,Monthly charge,SKU-ENSO-PRO,Enso Pro License,4.41,Each,1441.78,USD,1.0,15851.47,1505.89,17357.36,15851.47,Enso EU,EU-Central,HR,Internal,Net 15,,,
TXN-0005581,Expense Report,2024-12-25,Dec 2024,EXP-471793,Approved,Yes,Oracle,6200,G&A Expense,Inventory receipt,SKU-SUP-STD,Standard Support,5.14,Month,1171.02,USD,1.0,8508.0,0.0,8508.0,8508.0,Enso UK,US-East,HR,SMB,,,,Carlos Ortiz
TXN-0005582,Bill,2024-12-18,Dec 2024,BIL-285028,Partially Paid,Yes,Oracle,6000,Sales & Marketing,Consulting services,SKU-TRNG-01,Admin Training,3.55,Hour,1303.38,USD,1.0,3660.84,320.32,3981.16,3660.84,Enso UK,US-East,Sales,Mid-Market,Due on Receipt,,,Liam O'Connor
TXN-0005583,Bill,2024-12-02,Dec 2024,BIL-675668,Partially Paid,Yes,Google Cloud,6200,G&A Expense,Travel & meals,SKU-TRNG-01,Admin Training,1.7,Hour,416.78,USD,1.0,13016.28,1138.92,14155.2,13016.28,Enso EU,EU-Central,Finance,Internal,Net 15,,,Sophia Garcia
TXN-0005584,Customer Payment,2024-12-04,Dec 2024,CUS-791071,Undeposited,Yes,Aperture LLC,4000,Revenue,Support plan,,,,,,USD,1.0,11448.54,0.0,11448.54,11448.54,Enso UK,UK-South,HR,SMB,,Check,,
TXN-0005585,Bill,2024-12-18,Dec 2024,BIL-110178,Paid In Full,Yes,Dell,6100,R&D Expense,Travel & meals,SKU-ENSO-PRO,Enso Pro License,9.82,Each,1877.35,EUR,1.09,278.13,26.42,304.55,303.16,Enso UK,UK-South,Operations,SMB,Due on Receipt,,,
TXN-0005586,Bill,2024-12-22,Dec 2024,BIL-223339,Open,Yes,KPMG,6000,Sales & Marketing,Quarterly true-up,SKU-SUP-STD,Standard Support,4.59,Month,1241.79,USD,1.0,257.03,22.49,279.52,257.03,Enso UK,UK-South,Finance,SMB,Due on Receipt,,,
TXN-0005587,Expense Report,2024-12-14,Dec 2024,EXP-475631,Approved,Yes,Cloudflare,6100,R&D Expense,License renewal,SKU-TRNG-01,Admin Training,10.22,Hour,235.83,USD,1.0,3150.96,299.34,3450.3,3150.96,Enso UK,UK-South,R&D,Internal,,,,Ethan Brown
TXN-0005588,Bill,2024-12-25,Dec 2024,BIL-571202,Partially Paid,Yes,KPMG,6200,G&A Expense,Travel & meals,SKU-SUP-STD,Standard Support,8.81,Month,933.24,USD,1.0,4826.12,458.48,5284.6,4826.12,Enso US,US-West,Finance,Internal,Net 45,,,Liam O'Connor
TXN-0005589,Invoice,2024-12-03,Dec 2024,INV-588542,Paid In Full,Yes,Cyberdyne Partners,4000,Revenue,Inventory receipt,SKU-TRNG-01,Admin Training,1.0,Hour,2591.18,USD,1.0,11584.71,579.24,12163.95,11584.71,Enso US,US-West,Finance,Internal,Net 15,,,Sophia Garcia
TXN-0005590,Expense Report,2024-12-05,Dec 2024,EXP-447671,Approved,Yes,KPMG,6000,Sales & Marketing,Monthly charge,SKU-SUP-STD,Standard Support,1.84,Month,130.4,USD,1.0,6162.6,585.45,6748.05,6162.6,Enso US,US-West,Marketing,Enterprise,,,,Liam O'Connor
TXN-0005591,Customer Payment,2024-12-09,Dec 2024,CUS-503007,Undeposited,Yes,Massive Dynamic Partners,4100,Services Revenue,Quarterly true-up,,,,,,USD,1.0,24829.29,0.0,24829.29,24829.29,Enso EU,UK-South,Marketing,Internal,,Credit Card,,Derrick Cho
TXN-0005592,Customer Payment,2024-12-31,Dec 2024,CUS-786521,Deposited,Yes,Pied Piper Corp,4100,Services Revenue,Quarterly true-up,,,,,,USD,1.0,4397.08,0.0,4397.08,4397.08,Enso US,UK-South,Sales,Enterprise,,Credit Card,,Jane Miller
TXN-0005593,Bill,2024-12-27,Dec 2024,BIL-825530,Open,Yes,Accenture,6200,G&A Expense,Quarterly true-up,SKU-SUP-PREM,Premium Support,1.81,Month,1609.43,USD,1.0,8194.02,716.98,8911.0,8194.02,Enso EU,US-West,Marketing,SMB,Net 45,,,
TXN-0005594,Bill,2024-12-18,Dec 2024,BIL-843396,Partially Paid,Yes,Dell,6100,R&D Expense,Consulting services,SKU-ENSO-PRO,Enso Pro License,4.96,Each,1859.99,USD,1.0,5208.73,455.76,5664.49,5208.73,Enso EU,US-East,Operations,Internal,Due on Receipt,,,Ethan Brown
