TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,Date,RowNum,Fraud
879272,2023-07-01 14:21:00-04:00[America/New_York],4999,6761,42.88,7914083,91,2023-07-01,1,True
676376,2023-06-10 12:20:00-04:00[America/New_York],3225,3357,42.77,6092425,70,2023-06-10,2,True
405780,2023-05-13 08:51:00-04:00[America/New_York],2968,2841,12.78,3660681,42,2023-05-13,3,True
67609,2023-04-08 04:25:00-04:00[America/New_York],349,7445,106.37,620714,7,2023-04-08,4,True
1014657,2023-07-15 16:35:00-04:00[America/New_York],2440,8656,56.34,9131758,105,2023-07-15,6,True
744094,2023-06-17 13:04:00-04:00[America/New_York],1161,4985,8.24,6699871,77,2023-06-17,7,True
270554,2023-04-29 07:27:00-04:00[America/New_York],621,2668,97.55,2446022,28,2023-04-29,8,True
202839,2023-04-22 06:46:00-04:00[America/New_York],2602,4463,27.1,1838777,21,2023-04-22,9,True
608720,2023-06-03 11:31:00-04:00[America/New_York],3400,9725,67.75,5484715,63,2023-06-03,10,True
135143,2023-04-15 04:54:00-04:00[America/New_York],4002,5032,78.16,1227293,14,2023-04-15,11,True
473471,2023-05-20 09:17:00-04:00[America/New_York],1699,1895,99.78,4267049,49,2023-05-20,16,True
811765,2023-06-24 14:09:00-04:00[America/New_York],575,5057,24.76,7308597,84,2023-06-24,20,True
338218,2023-05-06 08:13:00-04:00[America/New_York],185,2581,7.03,3053605,35,2023-05-06,23,True
946964,2023-07-08 14:54:00-04:00[America/New_York],3786,8631,154.41,8520891,98,2023-07-08,26,True
541033,2023-05-27 10:10:00-04:00[America/New_York],4556,6549,123.29,4875015,56,2023-05-27,31,True
608813,2023-06-03 11:40:00-04:00[America/New_York],655,3552,227.16,5485203,63,2023-06-03,102,True
2,2023-04-01 00:07:00-04:00[America/New_York],2,1365,146.0,476,0,2023-04-01,475,True
473498,2023-05-20 09:20:00-04:00[America/New_York],1720,580,221.64,4267201,49,2023-05-20,612,True
135294,2023-04-15 05:22:00-04:00[America/New_York],658,8101,596.75,1228969,14,2023-04-15,725,True
676527,2023-06-10 12:33:00-04:00[America/New_York],221,1293,64.67,6093206,70,2023-06-10,832,True
879352,2023-07-01 14:28:00-04:00[America/New_York],3768,5203,4.9,7914517,91,2023-07-01,905,True
608900,2023-06-03 11:47:00-04:00[America/New_York],115,754,32.58,5485659,63,2023-06-03,1423,True
811877,2023-06-24 14:21:00-04:00[America/New_York],66,5057,52.09,7309265,84,2023-06-24,1629,True
947067,2023-07-08 15:06:00-04:00[America/New_York],3227,6000,244.3,8521569,98,2023-07-08,1727,True
879489,2023-07-01 14:39:00-04:00[America/New_York],1909,6943,67.03,7915163,91,2023-07-01,1862,True
811793,2023-06-24 14:13:00-04:00[America/New_York],3133,6613,61.0,7308805,84,2023-06-24,1881,True
608851,2023-06-03 11:42:00-04:00[America/New_York],3643,708,597.4,5485362,63,2023-06-03,2482,True
202967,2023-04-22 07:01:00-04:00[America/New_York],4163,553,796.25,1839685,21,2023-04-22,2867,True
67727,2023-04-08 04:45:00-04:00[America/New_York],2541,8213,254.85,621952,7,2023-04-08,2945,True
203054,2023-04-22 07:11:00-04:00[America/New_York],2407,9266,375.09999999999997,1840308,21,2023-04-22,3353,True
744315,2023-06-17 13:23:00-04:00[America/New_York],219,8834,251.14,6700992,77,2023-06-17,3359,True
473641,2023-05-20 09:31:00-04:00[America/New_York],3381,486,30.65,4267918,49,2023-05-20,3529,True
270777,2023-04-29 07:51:00-04:00[America/New_York],589,5032,68.35,2447471,28,2023-04-29,3647,True
270737,2023-04-29 07:47:00-04:00[America/New_York],2587,982,68.45,2447251,28,2023-04-29,4033,True
947317,2023-07-08 15:32:00-04:00[America/New_York],27,8066,282.7,8523175,98,2023-07-08,4140,True
406057,2023-05-13 09:18:00-04:00[America/New_York],3279,6660,247.7,3662280,42,2023-05-13,4585,True
406127,2023-05-13 09:25:00-04:00[America/New_York],987,6239,293.9,3662754,42,2023-05-13,4651,True
338521,2023-05-06 08:47:00-04:00[America/New_York],27,4592,45.57,3055620,35,2023-05-06,4680,True
676696,2023-06-10 12:46:00-04:00[America/New_York],2317,8677,162.76,6093992,70,2023-06-10,4839,True
406015,2023-05-13 09:13:00-04:00[America/New_York],4964,2581,46.04,3662025,42,2023-05-13,4910,True
338528,2023-05-06 08:47:00-04:00[America/New_York],613,773,397.9,3055643,35,2023-05-06,5122,True
812057,2023-06-24 14:37:00-04:00[America/New_York],1502,7826,16.61,7310267,84,2023-06-24,5351,True
541518,2023-05-27 10:48:00-04:00[America/New_York],893,7143,20.62,4877283,56,2023-05-27,5833,True
406146,2023-05-13 09:27:00-04:00[America/New_York],3195,3521,64.52,3662828,42,2023-05-13,5926,True
338590,2023-05-06 08:53:00-04:00[America/New_York],90,3521,84.98,3056022,35,2023-05-06,5984,True
541408,2023-05-27 10:39:00-04:00[America/New_York],4640,2581,45.75,4876794,56,2023-05-27,6035,True
812139,2023-06-24 14:45:00-04:00[America/New_York],1118,227,392.29999999999995,7310711,84,2023-06-24,6370,True
947460,2023-07-08 15:48:00-04:00[America/New_York],466,1790,67.89,8524130,98,2023-07-08,6399,True
406240,2023-05-13 09:36:00-04:00[America/New_York],3078,1246,519.8,3663366,42,2023-05-13,7335,True
609256,2023-06-03 12:18:00-04:00[America/New_York],1047,3402,234.81,5487494,63,2023-06-03,7558,True
473927,2023-05-20 09:59:00-04:00[America/New_York],2013,8686,49.6,4269599,49,2023-05-20,7565,True
338681,2023-05-06 09:03:00-04:00[America/New_York],813,9453,52.06,3056604,35,2023-05-06,7798,True
947462,2023-07-08 15:49:00-04:00[America/New_York],3698,2555,333.9,8524149,98,2023-07-08,7849,True
676816,2023-06-10 12:56:00-04:00[America/New_York],4683,1895,13.5,6094616,70,2023-06-10,8020,True
203432,2023-04-22 07:57:00-04:00[America/New_York],1139,291,23.31,1843028,21,2023-04-22,8769,True
474028,2023-05-20 10:07:00-04:00[America/New_York],1827,44,342.0,4270064,49,2023-05-20,8961,True
68044,2023-04-08 05:45:00-04:00[America/New_York],4581,3944,224.18,625519,7,2023-04-08,9087,True
1015261,2023-07-15 17:56:00-04:00[America/New_York],1414,3404,41.95,9136573,105,2023-07-15,9263,True
338793,2023-05-06 09:13:00-04:00[America/New_York],855,982,25.24,3057211,35,2023-05-06,9477,True
