acct_id,report_date,created_date,last_updated_date,country,active_passive,status,deleted_flag,is_preferred,is_employee,special,crm_code,erp_id,has_cd,has_investment_account
8272591465,20240601,2007-03-13,2018-09-09,USA,Active,Prospect,Not Deleted,No,No,No,N/A,91R5JT5T,N,N
7423183566,20240601,2012-06-09,2014-02-14,USA,Passive,Prospect,Not Deleted,No,No,No,3,66VXU3TJ,N,N
9383692348,20240601,2013-11-02,2023-01-23,POL,Passive,Prospect,Not Deleted,No,No,No,N/A,HWXIL5P9,N,N
9839438808,20240601,2007-11-01,2014-11-21,POL,Active,Prospect,Not Deleted,No,No,No,N/A,GSX2O7RD,N,Y
9930055075,20240601,2013-09-13,2013-10-07,USA,Active,Prospect,Not Deleted,No,No,No,N/A,MV40ORIN,N,N
9515770558,20240601,2011-11-13,2018-03-25,GBR,Active,Prospect,Not Deleted,No,No,No,N/A,L8G3J5S7,N,N
6728932617,20240601,2017-07-31,2020-02-04,CZE,Passive,Prospect,Not Deleted,No,No,No,N/A,2OSEJDWT,N,N
2489964486,20240601,2013-08-01,2015-09-04,USA,Passive,Prospect,Not Deleted,No,No,No,N/A,AFIJHBSX,N,N
1725616677,20240601,2015-10-30,2016-03-05,POL,Active,Prospect,Not Deleted,No,No,No,N/A,S1JAISDK,N,N
6107639853,20240601,2023-02-06,2023-06-12,GBR,Active,Prospect,Not Deleted,No,No,No,N/A,QF3BIIHB,Y,N
6388897256,20240601,2010-08-18,2014-03-23,GBR,Passive,Prospect,Not Deleted,No,No,No,N/A,AIBUZ6BS,N,Y
3667148994,20240601,2007-05-30,2018-08-18,USA,Active,Prospect,Deleted,No,No,No,N/A,VNC2PL53,N,N
6072086451,20240601,2008-07-26,2015-06-28,USA,Active,Prospect,Not Deleted,No,No,No,3,8SDDB4LR,N,N
1567478979,20240601,2014-07-21,2020-04-11,USA,Passive,Former Customer,Not Deleted,No,No,No,N/A,1TC2RP2U,N,N
9550675653,20240601,2011-06-24,2016-05-07,USA,Passive,Prospect,Not Deleted,No,No,No,N/A,7UV9OUB5,Y,N
9020318396,20240601,2010-04-28,2013-08-24,AUS,Active,Customer,Not Deleted,No,No,No,N/A,KTAQKR90,N,N
3424329696,20240601,2012-12-28,2023-03-10,GBR,Active,Customer,Not Deleted,No,No,No,N/A,75MW6F5W,N,N
6851796115,20240601,2011-09-01,2016-07-10,AUS,Active,Former Customer,Not Deleted,No,No,No,2,Y6DZ0A38,N,Y
7488346537,20240601,2007-12-26,2015-09-14,USA,Passive,Customer,Not Deleted,No,No,No,N/A,TMAG5L0I,N,N
5109134000,20240601,2015-10-16,2018-02-15,USA,Passive,Prospect,Not Deleted,No,No,No,N/A,1BC8CGOI,N,N
9882390429,20240601,2021-10-20,2022-08-08,USA,Active,Prospect,Not Deleted,No,No,No,N/A,HZTZU0ZU,N,N
6970633127,20240601,2020-08-25,2022-08-31,GBR,Passive,Customer,Not Deleted,No,No,No,N/A,10S4999L,N,N
6678968033,20240601,2020-02-04,2021-09-16,POL,Active,Prospect,Not Deleted,No,No,No,4,VS76SDBL,N,N
7885415403,20240601,2021-11-29,2024-03-12,USA,Active,Prospect,Not Deleted,No,No,No,1,HDJNRJ0G,N,N
9418674496,20240601,2021-06-07,2023-02-15,USA,Active,Prospect,Not Deleted,No,No,No,N/A,5K8Z1YT7,N,Y
3457315569,20240601,2020-08-05,2020-09-30,GBR,Active,Prospect,Not Deleted,No,No,No,N/A,EJT7XTOW,N,N
4981463147,20240601,2015-08-04,2023-05-26,CAN,Active,Customer,Deleted,No,No,No,2,0GNLJ11P,N,Y
7991510609,20240601,2011-05-24,2019-12-20,USA,Active,Prospect,Not Deleted,No,No,No,N/A,PBAKDQ2Q,N,N
2731571651,20240601,2014-03-23,2016-03-10,USA,Passive,Customer,Not Deleted,No,No,No,N/A,S7CL485G,N,N
5034095307,20240601,2007-08-02,2009-04-17,USA,Passive,Prospect,Not Deleted,No,No,No,1,GG465G0N,N,N
1704820373,20240601,2019-07-04,2020-12-16,POL,Active,Prospect,Not Deleted,No,No,No,N/A,DLTE4NXM,N,N
1401264237,20240601,2021-02-10,2023-09-03,POL,Active,Customer,Not Deleted,No,No,No,N/A,T0XU6IHJ,N,N
7395597119,20240601,2013-06-26,2019-08-29,GBR,Active,Prospect,Not Deleted,No,No,No,5,ACI41KEC,N,N
1109078635,20240601,2022-06-24,2023-03-09,USA,Active,Prospect,Not Deleted,No,No,No,3,9J3OSJBY,N,N
8653393335,20240601,2022-10-22,2023-01-09,USA,Active,Prospect,Not Deleted,No,No,No,N/A,HV9FZVZU,N,N
2552741319,20240601,2015-10-30,2020-12-20,USA,Passive,Prospect,Not Deleted,No,No,No,N/A,9Z45XIYK,N,N
8088579886,20240601,2016-02-07,2020-01-27,USA,Active,Prospect,Not Deleted,No,No,No,2;3,0TAXC4OE,N,Y
4114798260,20240601,2023-10-01,2024-01-25,USA,Passive,Prospect,Not Deleted,No,No,No,N/A,H1UCUQ95,N,N
2765660712,20240601,2021-03-03,2023-12-06,USA,Active,Former Customer,Deleted,No,No,No,N/A,45V6SULB,N,N
4324407587,20240601,2022-09-15,2023-02-25,USA,Active,Prospect,Not Deleted,No,No,No,N/A,KUS3OMH7,N,N
3568886188,20240601,2013-03-11,2023-07-15,USA,Passive,Customer,Not Deleted,No,No,No,N/A,Z8B4JQSQ,N,N
4171360133,20240601,2013-08-14,2018-10-27,GBR,Active,Customer,Not Deleted,No,No,No,1,WIW3LMEY,N,N
5383960791,20240601,2022-09-14,2024-06-20,GBR,Passive,Prospect,Not Deleted,No,No,No,N/A,WU2PLQHS,N,N
4627850937,20240601,2015-12-07,2016-02-01,USA,Active,Prospect,Not Deleted,No,No,No,4,W8O6WY3D,N,N
5562892956,20240601,2011-06-19,2023-04-01,CZE,Active,Prospect,Not Deleted,No,No,No,N/A,RYTDQTRN,N,N
1570246604,20240601,2020-03-01,2024-06-18,POL,Active,Prospect,Not Deleted,No,No,No,N/A,G88LZFVD,N,N
3207476534,20240601,2018-06-18,2021-10-30,USA,Active,Prospect,Not Deleted,No,No,No,N/A,1F15YYSL,N,N
9269041895,20240601,2015-01-13,2020-08-11,GBR,Active,Customer,Not Deleted,No,No,No,N/A,OMRJ9IJE,Y,N
6228461877,20240601,2014-09-09,2023-03-04,USA,Active,Prospect,Not Deleted,No,No,No,2;3,JEY46LHJ,N,N
7007597604,20240601,2024-04-30,2024-06-03,USA,Passive,Prospect,Not Deleted,No,No,No,N/A,55USBZRB,N,N
6472493284,20240601,2008-04-10,2020-03-26,USA,Active,Prospect,Not Deleted,No,No,No,N/A,C8GCDY9M,N,Y
3337917558,20240601,2013-03-08,2021-01-21,USA,Passive,Customer,Not Deleted,No,No,No,N/A,Y1ILZ502,N,N
4922437060,20240601,2022-02-24,2022-08-29,GBR,Active,Prospect,Not Deleted,No,No,No,5,E6AB3G8Y,N,N
2613988474,20240601,2016-02-06,2022-07-26,AUS,Active,Customer,Not Deleted,No,No,No,N/A,BRR4ELFO,N,N
9897529867,20240601,2009-05-09,2014-07-13,GBR,Passive,Prospect,Not Deleted,No,No,No,N/A,E7EG9AYH,Y,N
6540328868,20240601,2013-08-01,2018-06-16,USA,Active,Prospect,Not Deleted,No,No,No,N/A,NGKHVUQ4,N,Y
6517781076,20240601,2022-03-25,2023-08-15,GBR,Active,Prospect,Not Deleted,No,No,No,1,CYPADFB3,Y,N
3725925870,20240601,2007-04-14,2016-10-07,USA,Active,Prospect,Not Deleted,No,No,No,N/A,ILDXB584,N,N
2644506193,20240601,2021-03-06,2023-01-17,GBR,Active,Prospect,Not Deleted,No,No,No,N/A,DW8A1F5O,N,N
6670523020,20240601,2018-10-30,2023-12-25,CZE,Active,Prospect,Deleted,No,No,No,N/A,6ZV34YJJ,N,Y
6458616483,20240601,2009-09-10,2016-12-17,CAN,Passive,Prospect,Not Deleted,No,No,No,N/A,MRRUTGO5,N,N
9835660267,20240601,2014-07-19,2015-06-12,GBR,Active,Prospect,Not Deleted,No,No,No,N/A,XK82JMUM,Y,N
9593586001,20240601,2020-09-13,2022-09-27,USA,Active,Prospect,Not Deleted,No,No,No,N/A,ZX1VDYXP,N,N
6428862948,20240601,2022-12-21,2023-08-12,CZE,Active,Prospect,Not Deleted,No,No,No,N/A,7YCKGMYT,N,Y
6227316906,20240601,2020-04-19,2022-03-16,USA,Passive,Prospect,Not Deleted,No,No,No,N/A,0CT7SAXK,N,N
