LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000410578-0001-0,DOUBLE O TWO INC,INTERNATIONAL HOUSE OF PANCAKES #2,8555 VESPER AVENUE,PANORAMA CITY,91402-2914,8555 VESPER 91402-2914,24801 PICO CANYON ROAD #200,STEVENSON RANCH,91381-1762,722110,Full-service restaurants,6,08/02/1982,,"(34.2253, -118.4502)"
0002537656-0014-1,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11024 | CALIFORNIA FOOD MANAGEMENT,5609 W SUNSET BLVD,LOS ANGELES,90028-8534,5609 SUNSET 90028-8534,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.098, -118.3117)"
0002798053-0001-3,CHARCOAL VENICE PARTNERS LLC,CHARCOAL VENICE,425 WASHINGTON BLVD,VENICE,90292-5213,425 WASHINGTON 90292-5213,425 WASHINGTON BLVD,VENICE,90292-5213,722110,Full-service restaurants,11,01/18/2015,,"(33.9815, -118.4627)"
0002913705-0001-5,THE CURATIVE GROUP LLC,,9812   WASHINGTON BLVD,CULVER CITY,90232-2724,9812 WASHINGTON 90232,9812   WASHINGTON BLVD,CULVER CITY,90232-2724,722110,Full-service restaurants,0,06/01/2016,,"(34.0218, -118.397)"
0002886189-0001-4,UNIKING LLC,APT 503,3680   WILSHIRE BLVD   #503,LOS ANGELES,90010-2707,3680 WILSHIRE 90010-2707,,,,722110,Full-service restaurants,10,12/01/2015,,"(34.0607, -118.3062)"
0000645358-0001-2,PRODROMOS MIKE BEGAKIS,MONTERY CONCESSIONS,4730 CRYSTAL SPRINGS DRIVE,LOS ANGELES,90027-1401,4730 CRYSTAL SPRINGS 90027-1401,16821 BURBANK BLVD,ENCINO,91436-1000,722110,Full-service restaurants,4,05/28/2002,,"(34.1465, -118.2844)"
0002947294-0001-1,SHANDIZ CUISINE RESTAURANT INC,SHANDIZ CRUSINE RESTAURANT,745 E VALLEY BLVD,SAN GABRIEL,91776-3549,745 VALLEY 91776-3549,,,,722110,Full-service restaurants,0,09/02/2016,,"(34.0802, -118.0912)"
0000729801-0001-5,FARHAD PEZESHKI,HAMBURGER HABIT,11223 NATIONAL BLVD,LOS ANGELES,90064-3902,11223 NATIONAL 90064-3902,,,,722110,Full-service restaurants,5,09/01/1989,,"(34.0269, -118.4297)"
0002856650-0001-4,SHANDIZ RESTAURANT INC,SHANDIZ PERSIAN GRILL,745 E VALLEY BLVD,SAN GABRIEL,91776-3549,745 VALLEY 91776-3549,,,,722110,Full-service restaurants,0,09/23/2015,,"(34.0802, -118.0912)"
0002873744-0001-8,RAMON BARAJAS,TAMALES Y TAQUERIA EL CERRITO,7831 S ALAMEDA STREET,LOS ANGELES,90001-3115,7831 ALAMEDA 90001-3115,,,,722110,Full-service restaurants,0,12/14/2015,,"(33.9689, -118.2335)"
0000267458-0010-5,"SENIOR CLASSIC LEASING, LLC",CARLS JR RESTAURANT #7376,11509 LAUREL CANYON BLVD,SAN FERNANDO,91340-4123,11509 LAUREL CANYON 91340-4123,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,7,11/27/2000,,"(34.2789, -118.4535)"
0003140878-0001-1,VOW BRANDS LLC,VOWBURGER,519 N FAIRFAX AVENUE,LOS ANGELES,90036-1715,519 FAIRFAX 90036-1715,519 N FAIRFAX AVENUE,LOS ANGELES,90036-1715,722110,Full-service restaurants,5,08/15/2019,,"(34.0807, -118.3616)"
0002863458-0001-9,GFC ARLINGTON LLC,,4155 W PICO BLVD,LOS ANGELES,90019-4311,4155 PICO 90019-4311,1632 VIRGINIA ROAD,LOS ANGELES,90019-5934,722110,Full-service restaurants,10,04/06/2015,,"(34.0477, -118.3261)"
0002537656-0017-6,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11490 | CALIFORNIA FOOD MANAGEMENT,4918 W SUNSET BLVD,LOS ANGELES,90027-5814,4918 SUNSET 90027-5814,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.0981, -118.2965)"
0002853127-0001-2,"PARVUS, LLC",OSTERIA VENICE WEST,5 DUDLEY AVENUE,VENICE,90291-2405,5 DUDLEY 90291-2405,1413   VIA DAVALOS,PALOS VERDES ESTATES,90274-1943,722110,Full-service restaurants,11,09/18/2015,,"(33.994, -118.4797)"
0000864857-0001-5,CAMILLES INC,DENNY'S RESTAURANT | DENNYS RESTAURANT 6231,530 RAMIREZ STREET,LOS ANGELES,90012-2926,530 RAMIREZ 90012-2926,POST OFFICE BOX #15490,LONG BEACH,90815-0490,722110,Full-service restaurants,14,12/01/1969,,"(34.0546, -118.2316)"
0002573777-0001-6,143 S LA BREA INC,SYCAMORE KITCHEN | THE SYCAMORE KITCHEN,143 S LA BREA AVENUE,LOS ANGELES,90036-2909,143 LA BREA 90036-2909,32129 LINDERO CANYON ROAD SUITE #104,WESTLAKE VILLAGE,91361-5437,722110,Full-service restaurants,5,03/01/2012,,"(34.0724, -118.344)"
0002786945-0001-1,GEORGES DRIVE IN BOYLE HEIGHTS LLC,,2311 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-1810,2311 CESAR E CHAVEZ 90033-1810,,,,722110,Full-service restaurants,14,11/18/2014,,"(34.0471, -118.2085)"
0002661667-0001-9,"OECY CO., INC.",TAKARA RAMEN BAR,7300 W SUNSET BLVD SUITE #A,LOS ANGELES,90046-3429,7300 SUNSET 90046-3429,7300 W SUNSET BLVD SUITE #A,LOS ANGELES,90046-3429,722110,Full-service restaurants,4,03/01/2013,,"(34.098, -118.3495)"
0002591422-0002-7,NATTALY LICON,SAN PEDRO TACOS,114 N GAFFEY STREET SUITE #B,SAN PEDRO,90731-9602,114 GAFFEY 90731-9602,,,,722110,Full-service restaurants,15,11/15/2015,,"(33.7434, -118.2923)"
0002537656-0009-5,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 5658 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #5658,5850 CRENSHAW BLVD,LOS ANGELES,90043-2434,5850 CRENSHAW 90043-2434,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,8,01/03/2011,,"(33.9881, -118.3307)"
0002870160-0001-6,LILIAN ANAI TIBURCIO,SENORITA ABBY'S,3751 S WESTERN AVENUE,LOS ANGELES,90018-4436,3751 WESTERN 90018-4436,,,,722110,Full-service restaurants,8,11/30/2015,,"(34.0193, -118.3089)"
0002659975-0004-4,CONCESSIONS MANAGEMENT LS AT LAX TBIT LLC,CANTINA LAREDO,1 WORLD WAY #T81,LOS ANGELES,90045-5803,1 WORLD 90045-5803,7929 BROOKRIVER DRIVE SUITE #200,DALLAS,75247-4945,722110,Full-service restaurants,11,05/01/2015,,"(33.9453, -118.3995)"
0000202774-0001-5,GENOVEVA/GUILLERMO PADILLA,LA BARCA,2414 S VERMONT AVENUE,LOS ANGELES,90007-1660,2414 VERMONT 90007-1660,2414 S VERMONT AVENUE,LOS ANGELES,90007-1660,722110,Full-service restaurants,8,05/01/1976,,"(34.0341, -118.2915)"
0002869956-0001-4,DOMITILA CACERES,LA PIRAMIDE SALVADORENA RESTAURANT,4021 BEVERLY BLVD,LOS ANGELES,90004-3313,4021 BEVERLY 90004,4021 BEVERLY BLVD,LOS ANGELES,90004-3313,722110,Full-service restaurants,13,01/01/2016,,"(34.0762, -118.2967)"
