Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0000964,Credit Memo,2024-03-10,Mar 2024,CRE-134304,Open,Yes,Vehement Corp,4200,Product Revenue,Promotion credit,SKU-ENSO-TEAM,Enso Team License,4.7,Each,1522.7,USD,1.0,-4012.08,0.0,-4012.08,-4012.08,Enso EU,UK-South,HR,SMB,,,
TXN-0000965,Bank Deposit,2024-03-13,Mar 2024,BAN-761269,Deposited,Yes,Google Cloud,1100,Accounts Receivable,Monthly charge,,,,,,USD,1.0,18780.95,0.0,18780.95,18780.95,Enso EU,EU-Central,Finance,SMB,,Check,
TXN-0000966,Invoice,2024-03-26,Mar 2024,INV-555232,Open,Yes,Soylent Partners,4200,Product Revenue,Support plan,SKU-SUP-STD,Standard Support,2.8,Month,1149.75,USD,1.0,13901.9,1216.42,15118.32,13901.9,Enso UK,EU-Central,Operations,Internal,Net 30,,
TXN-0000967,Cash Sale,2024-03-21,Mar 2024,CAS-723331,Paid,Yes,Initech LLC,4200,Product Revenue,Hardware purchase,SKU-ENSO-TEAM,Enso Team License,4.1,Each,1967.05,USD,1.0,21703.08,0.0,21703.08,21703.08,Enso EU,UK-South,HR,Enterprise,,Check,
TXN-0000968,Customer Payment,2024-03-26,Mar 2024,CUS-355167,Deposited,Yes,Pied Piper LLC,4200,Product Revenue,Subscription,,,,,,USD,1.0,13208.19,0.0,13208.19,13208.19,Enso EU,UK-South,Marketing,Internal,,Credit Card,
TXN-0000969,Bill,2024-03-12,Mar 2024,BIL-928657,Open,Yes,Zoom,6100,R&D Expense,Travel & meals,SKU-ENSO-PRO,Enso Pro License,5.69,Each,1388.23,USD,1.0,3423.99,171.2,3595.19,3423.99,Enso UK,US-West,HR,SMB,Net 15,,
TXN-0000970,Bill,2024-03-17,Mar 2024,BIL-878308,Partially Paid,Yes,Cisco,6000,Sales & Marketing,Support plan,SKU-SUP-STD,Standard Support,11.43,Month,1057.74,USD,1.0,3268.83,310.54,3579.37,3268.83,Enso UK,EU-Central,HR,Enterprise,Net 30,,
TXN-0000971,Vendor Credit,2024-03-27,Mar 2024,VEN-383416,Applied,Yes,Stripe,6200,G&A Expense,Cloud services,SKU-ENSO-TEAM,Enso Team License,5.85,Each,1662.52,USD,1.0,-2255.0,0.0,-2255.0,-2255.0,Enso EU,US-East,Operations,Mid-Market,,,
TXN-0000972,Journal Entry,2024-03-18,Mar 2024,JOU-185674,Approved,Yes,Fastly,4100,Services Revenue,Quarterly true-up,,,,,,USD,1.0,25557.3,0.0,25557.3,25557.3,Enso UK,EU-Central,Finance,Enterprise,,,
TXN-0000973,Bill,2024-03-29,Mar 2024,BIL-732889,Open,Yes,Zoom,6000,Sales & Marketing,Promotion credit,SKU-TRNG-01,Admin Training,10.55,Hour,1268.8,USD,1.0,5271.79,263.59,5535.38,5271.79,Enso UK,US-West,HR,Enterprise,Net 15,,
TXN-0000974,Expense Report,2024-03-02,Mar 2024,EXP-361059,Pending Approval,Yes,AWS,6200,G&A Expense,Consulting services,SKU-SUP-STD,Standard Support,13.22,Month,1893.09,EUR,1.09,1281.01,0.0,1281.01,1396.3,Enso EU,US-West,HR,Mid-Market,,,
TXN-0000975,Vendor Payment,2024-03-21,Mar 2024,VEN-934594,Processed,Yes,Salesforce,6000,Sales & Marketing,Subscription,,,,,,USD,1.0,2831.65,0.0,2831.65,2831.65,Enso US,US-West,Finance,Mid-Market,,Check,
TXN-0000976,Transfer,2024-03-06,Mar 2024,TRA-291808,Completed,Yes,Oracle,6100,R&D Expense,Support plan,,,,,,USD,1.0,43799.73,0.0,43799.73,43799.73,Enso EU,EU-Central,Operations,Mid-Market,,,
TXN-0000977,Journal Entry,2024-03-28,Mar 2024,JOU-870867,Posted,Yes,Dell,5100,Freight Out,Training session,,,,,,USD,1.0,47224.02,0.0,47224.02,47224.02,Enso UK,EU-Central,Marketing,Enterprise,,,
TXN-0000978,Invoice,2024-03-10,Mar 2024,INV-775787,Open,Yes,Soylent Partners,4100,Services Revenue,Training session,SKU-TRNG-01,Admin Training,9.93,Hour,172.61,USD,1.0,24732.41,0.0,24732.41,24732.41,Enso UK,US-West,Marketing,Mid-Market,Net 45,,
TXN-0000979,Item Receipt,2024-03-23,Mar 2024,ITE-219395,Received,Yes,Accenture,1200,Inventory,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,9.99,Each,1452.03,USD,1.0,6516.07,325.8,6841.87,6516.07,Enso EU,EU-Central,Sales,SMB,,,
TXN-0000980,Bill,2024-03-30,Mar 2024,BIL-575704,Partially Paid,Yes,Deloitte,6000,Sales & Marketing,Support plan,SKU-ENSO-TEAM,Enso Team License,1.92,Each,807.89,USD,1.0,5304.01,265.2,5569.21,5304.01,Enso EU,US-West,Finance,SMB,Net 30,,
TXN-0000981,Cash Sale,2024-03-05,Mar 2024,CAS-402297,Paid,Yes,Hooli Partners,4200,Product Revenue,Consulting services,SKU-TRNG-01,Admin Training,6.21,Hour,301.46,USD,1.0,4011.88,0.0,4011.88,4011.88,Enso US,EU-Central,HR,Internal,,Wire,
TXN-0000982,Journal Entry,2024-03-03,Mar 2024,JOU-666167,Approved,Yes,KPMG,6000,Sales & Marketing,Subscription,,,,,,EUR,1.09,9929.29,0.0,9929.29,10822.93,Enso EU,EU-Central,HR,Enterprise,,,
TXN-0000983,Bill,2024-03-30,Mar 2024,BIL-620591,Paid In Full,Yes,Google Cloud,6200,G&A Expense,Quarterly true-up,SKU-TRNG-01,Admin Training,8.71,Hour,595.48,USD,1.0,2263.08,214.99,2478.07,2263.08,Enso EU,EU-Central,Marketing,Internal,Net 15,,
TXN-0000984,Bill,2024-03-03,Mar 2024,BIL-718408,Partially Paid,Yes,Cloudflare,5000,COGS,Subscription,SKU-SUP-PREM,Premium Support,3.76,Month,990.32,USD,1.0,6727.08,588.62,7315.7,6727.08,Enso UK,EU-Central,Marketing,SMB,Due on Receipt,,
TXN-0000985,Expense Report,2024-03-16,Mar 2024,EXP-147260,Approved,Yes,Dell,6000,Sales & Marketing,Quarterly true-up,SKU-ENSO-TEAM,Enso Team License,1.0,Each,671.8,EUR,1.09,1263.16,120.0,1383.16,1376.84,Enso UK,US-East,R&D,Internal,,,
TXN-0000986,Invoice,2024-03-19,Mar 2024,INV-490864,Partially Paid,Yes,Initech Partners,4100,Services Revenue,Hardware purchase,SKU-SUP-PREM,Premium Support,1.0,Month,105.5,USD,1.0,24908.49,0.0,24908.49,24908.49,Enso EU,UK-South,Marketing,SMB,Net 30,,
TXN-0000987,Cash Sale,2024-03-07,Mar 2024,CAS-893220,Paid,Yes,Wayne LLC,4000,Revenue,Travel & meals,SKU-SUP-PREM,Premium Support,5.96,Month,1713.85,USD,1.0,8427.55,0.0,8427.55,8427.55,Enso EU,EU-Central,HR,Enterprise,,ACH,
TXN-0000988,Bill,2024-03-31,Mar 2024,BIL-106673,Partially Paid,Yes,Zoom,5000,COGS,Inventory receipt,SKU-SUP-STD,Standard Support,4.31,Month,94.58,USD,1.0,6907.24,604.38,7511.62,6907.24,Enso UK,US-West,Sales,Mid-Market,Net 15,,
TXN-0000989,Bill,2024-03-08,Mar 2024,BIL-746414,Paid In Full,Yes,KPMG,5000,COGS,Travel & meals,SKU-ENSO-TEAM,Enso Team License,1.86,Each,367.52,USD,1.0,5485.31,0.0,5485.31,5485.31,Enso US,US-East,Marketing,Internal,Net 15,,
TXN-0000990,Cash Sale,2024-03-11,Mar 2024,CAS-950547,Paid,Yes,Massive Dynamic Partners,4000,Revenue,Promotion credit,SKU-SUP-STD,Standard Support,12.27,Month,819.4,USD,1.0,5011.41,438.5,5449.91,5011.41,Enso UK,EU-Central,Sales,Mid-Market,,Wire,
TXN-0000991,Bill,2024-03-27,Mar 2024,BIL-159250,Paid In Full,Yes,Stripe,6000,Sales & Marketing,Travel & meals,SKU-SUP-PREM,Premium Support,4.27,Month,946.91,USD,1.0,9260.91,879.79,10140.7,9260.91,Enso EU,US-West,Operations,SMB,Net 30,,
TXN-0000992,Bill,2024-03-16,Mar 2024,BIL-357575,Partially Paid,Yes,HP,6000,Sales & Marketing,Subscription,SKU-SUP-STD,Standard Support,6.19,Month,1458.47,USD,1.0,836.45,73.19,909.64,836.45,Enso EU,US-West,HR,Internal,Due on Receipt,,
TXN-0000993,Item Receipt,2024-03-09,Mar 2024,ITE-482461,Received,Yes,HP,1200,Inventory,Quarterly true-up,SKU-SUP-STD,Standard Support,7.0,Month,1210.01,USD,1.0,9219.6,806.72,10026.32,9219.6,Enso UK,US-East,Finance,Internal,,,
TXN-0000994,Bank Deposit,2024-03-18,Mar 2024,BAN-967114,Deposited,Yes,Deloitte,2000,Accounts Payable,Consulting services,,,,,,GBP,1.27,9749.93,0.0,9749.93,12382.41,Enso UK,US-East,Operations,SMB,,Wire,
TXN-0000995,Cash Sale,2024-03-03,Mar 2024,CAS-474509,Paid,Yes,Umbrella Inc,4200,Product Revenue,Subscription,SKU-SUP-PREM,Premium Support,7.27,Month,1481.05,USD,1.0,23698.86,0.0,23698.86,23698.86,Enso US,UK-South,HR,Enterprise,,Credit Card,
TXN-0000996,Vendor Payment,2024-03-10,Mar 2024,VEN-491983,Processed,Yes,Cisco,6100,R&D Expense,Training session,,,,,,USD,1.0,13596.76,0.0,13596.76,13596.76,Enso UK,US-West,R&D,Enterprise,,ACH,
TXN-0000997,Credit Memo,2024-03-21,Mar 2024,CRE-450795,Applied,Yes,Initech LLC,4200,Product Revenue,Subscription,SKU-SUP-STD,Standard Support,9.44,Month,1292.14,USD,1.0,-13880.42,0.0,-13880.42,-13880.42,Enso EU,US-West,R&D,SMB,,,
TXN-0000998,Journal Entry,2024-03-16,Mar 2024,JOU-830764,Posted,Yes,KPMG,6000,Sales & Marketing,Subscription,,,,,,USD,1.0,42357.01,0.0,42357.01,42357.01,Enso UK,UK-South,R&D,Internal,,,
TXN-0000999,Bill,2024-03-04,Mar 2024,BIL-579266,Open,Yes,Dell,6100,R&D Expense,Support plan,SKU-ENSO-PRO,Enso Pro License,8.92,Each,376.01,USD,1.0,11351.81,993.28,12345.09,11351.81,Enso US,US-East,Marketing,Enterprise,Net 30,,
TXN-0001000,Expense Report,2024-03-12,Mar 2024,EXP-725833,Pending Approval,Yes,HP,5000,COGS,Cloud services,SKU-SUP-STD,Standard Support,2.82,Month,3107.09,USD,1.0,4045.01,353.94,4398.95,4045.01,Enso US,UK-South,Marketing,Mid-Market,,,
TXN-0001001,Customer Payment,2024-03-05,Mar 2024,CUS-694682,Deposited,Yes,Tyrell Inc,4200,Product Revenue,Subscription,,,,,,USD,1.0,23765.27,0.0,23765.27,23765.27,Enso EU,EU-Central,Finance,Enterprise,,Wire,
TXN-0001002,Bill,2024-03-08,Mar 2024,BIL-262796,Partially Paid,Yes,Cloudflare,5000,COGS,License renewal,SKU-ENSO-PRO,Enso Pro License,3.11,Each,536.9,USD,1.0,12457.28,622.86,13080.14,12457.28,Enso US,US-West,Operations,Mid-Market,Due on Receipt,,
TXN-0001003,Bill,2024-03-21,Mar 2024,BIL-385049,Open,Yes,Accenture,5000,COGS,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,6.55,Each,835.91,USD,1.0,6047.71,529.17,6576.88,6047.71,Enso UK,UK-South,Sales,Internal,Net 15,,
TXN-0001004,Bill,2024-03-27,Mar 2024,BIL-481993,Partially Paid,Yes,Stripe,6000,Sales & Marketing,Travel & meals,SKU-SUP-STD,Standard Support,2.02,Month,364.47,USD,1.0,2590.95,0.0,2590.95,2590.95,Enso EU,US-East,R&D,Mid-Market,Net 30,,
TXN-0001005,Journal Entry,2024-03-25,Mar 2024,JOU-504145,Approved,Yes,Dell,6100,R&D Expense,Travel & meals,,,,,,USD,1.0,14137.63,0.0,14137.63,14137.63,Enso US,EU-Central,HR,Internal,,,
TXN-0001006,Customer Payment,2024-03-19,Mar 2024,CUS-763485,Undeposited,Yes,Wayne Inc,4200,Product Revenue,Support plan,,,,,,GBP,1.27,10125.02,0.0,10125.02,12858.78,Enso US,US-West,HR,SMB,,ACH,
TXN-0001007,Vendor Credit,2024-03-22,Mar 2024,VEN-462809,Open,Yes,KPMG,6200,G&A Expense,Inventory receipt,SKU-TRNG-01,Admin Training,7.23,Hour,1820.18,USD,1.0,-630.26,0.0,-630.26,-630.26,Enso UK,US-East,Sales,Enterprise,,,
TXN-0001008,Credit Memo,2024-03-21,Mar 2024,CRE-832814,Applied,Yes,Vehement Inc,4000,Revenue,Inventory receipt,SKU-SUP-PREM,Premium Support,3.93,Month,105.8,USD,1.0,-4327.91,0.0,-4327.91,-4327.91,Enso EU,EU-Central,HR,SMB,,,
TXN-0001009,Invoice,2024-03-13,Mar 2024,INV-938832,Partially Paid,Yes,Acme Corp,4100,Services Revenue,Monthly charge,SKU-SUP-STD,Standard Support,1.63,Month,1551.94,USD,1.0,18367.15,1607.13,19974.28,18367.15,Enso UK,UK-South,Marketing,Internal,Due on Receipt,,
TXN-0001010,Customer Payment,2024-03-14,Mar 2024,CUS-196090,Deposited,Yes,Stark Corp,4000,Revenue,Cloud services,,,,,,USD,1.0,13712.26,0.0,13712.26,13712.26,Enso UK,US-West,Operations,SMB,,Check,
TXN-0001011,Journal Entry,2024-03-10,Mar 2024,JOU-120119,Approved,Yes,AWS,4000,Revenue,Subscription,,,,,,USD,1.0,5137.46,0.0,5137.46,5137.46,Enso US,US-East,Finance,Internal,,,
TXN-0001012,Invoice,2024-03-20,Mar 2024,INV-771102,Paid In Full,Yes,Tyrell LLC,4100,Services Revenue,Support plan,SKU-TRNG-01,Admin Training,3.05,Hour,197.36,EUR,1.09,5872.16,557.86,6430.02,6400.65,Enso UK,US-West,HR,SMB,Net 15,,
TXN-0001013,Invoice,2024-03-24,Mar 2024,INV-280276,Open,Yes,Stark LLC,4000,Revenue,Inventory receipt,SKU-TRNG-01,Admin Training,5.82,Hour,2991.07,USD,1.0,17325.47,1515.98,18841.45,17325.47,Enso US,UK-South,Finance,Mid-Market,Net 30,,
TXN-0001014,Bill,2024-03-11,Mar 2024,BIL-561630,Partially Paid,Yes,Fastly,6200,G&A Expense,Travel & meals,SKU-SUP-PREM,Premium Support,4.05,Month,1575.76,USD,1.0,8483.9,742.34,9226.24,8483.9,Enso UK,UK-South,Operations,SMB,Net 15,,
TXN-0001015,Customer Payment,2024-03-29,Mar 2024,CUS-523778,Deposited,Yes,Umbrella Inc,4200,Product Revenue,Subscription,,,,,,EUR,1.09,17944.03,0.0,17944.03,19558.99,Enso EU,US-West,R&D,Internal,,Credit Card,
TXN-0001016,Bill,2024-03-10,Mar 2024,BIL-145148,Partially Paid,Yes,Google Cloud,5000,COGS,Subscription,SKU-SUP-STD,Standard Support,5.51,Month,1109.57,USD,1.0,4960.01,434.0,5394.01,4960.01,Enso UK,EU-Central,Finance,Mid-Market,Net 45,,
TXN-0001017,Transfer,2024-03-23,Mar 2024,TRA-656128,Completed,Yes,Fastly,4100,Services Revenue,Training session,,,,,,USD,1.0,38416.08,0.0,38416.08,38416.08,Enso US,UK-South,HR,Enterprise,,,
TXN-0001018,Cash Sale,2024-03-26,Mar 2024,CAS-386330,Paid,Yes,Soylent Partners,4000,Revenue,Hardware purchase,SKU-SUP-STD,Standard Support,1.0,Month,33.99,USD,1.0,8290.62,414.53,8705.15,8290.62,Enso US,EU-Central,Finance,Internal,,Credit Card,
TXN-0001019,Vendor Credit,2024-03-09,Mar 2024,VEN-569274,Applied,Yes,Stripe,6200,G&A Expense,Hardware purchase,SKU-SUP-PREM,Premium Support,3.07,Month,1707.77,USD,1.0,-13328.18,0.0,-13328.18,-13328.18,Enso US,US-East,HR,Enterprise,,,
TXN-0001020,Credit Memo,2024-03-15,Mar 2024,CRE-464128,Open,Yes,Wayne Corp,4000,Revenue,Training session,SKU-ENSO-TEAM,Enso Team License,1.33,Each,830.69,GBP,1.27,-13209.88,0.0,-13209.88,-16776.55,Enso US,US-East,Sales,Internal,,,
TXN-0001021,Expense Report,2024-03-12,Mar 2024,EXP-825126,Paid,Yes,Google Cloud,5000,COGS,Monthly charge,SKU-TRNG-01,Admin Training,2.83,Hour,1329.33,USD,1.0,11020.86,964.33,11985.19,11020.86,Enso US,US-East,Sales,SMB,,,
TXN-0001022,Customer Payment,2024-03-15,Mar 2024,CUS-803317,Deposited,Yes,Umbrella LLC,4000,Revenue,Monthly charge,,,,,,USD,1.0,12977.86,0.0,12977.86,12977.86,Enso EU,UK-South,HR,Enterprise,,Check,
TXN-0001023,Customer Payment,2024-03-20,Mar 2024,CUS-409454,Undeposited,Yes,Vehement Partners,4200,Product Revenue,Monthly charge,,,,,,GBP,1.27,17877.21,0.0,17877.21,22704.06,Enso EU,US-East,Marketing,Internal,,ACH,
TXN-0001024,Item Receipt,2024-03-01,Mar 2024,ITE-254905,Received,Yes,Oracle,1200,Inventory,Quarterly true-up,SKU-TRNG-01,Admin Training,4.5,Hour,747.05,USD,1.0,959.63,0.0,959.63,959.63,Enso EU,US-East,Operations,Enterprise,,,
TXN-0001025,Bill,2024-03-25,Mar 2024,BIL-147367,Partially Paid,Yes,Cloudflare,6000,Sales & Marketing,Hardware purchase,SKU-ENSO-PRO,Enso Pro License,7.67,Each,1120.63,USD,1.0,662.37,0.0,662.37,662.37,Enso EU,UK-South,Operations,Mid-Market,Due on Receipt,,
TXN-0001026,Invoice,2024-03-12,Mar 2024,INV-188928,Open,Yes,Cyberdyne Inc,4100,Services Revenue,Promotion credit,SKU-TRNG-01,Admin Training,6.72,Hour,1500.58,USD,1.0,6624.68,629.34,7254.02,6624.68,Enso US,US-West,Sales,Enterprise,Net 15,,
TXN-0001027,Item Receipt,2024-03-22,Mar 2024,ITE-542003,Received,Yes,Salesforce,1200,Inventory,Quarterly true-up,SKU-SUP-PREM,Premium Support,7.6,Month,1770.77,USD,1.0,11743.17,0.0,11743.17,11743.17,Enso EU,EU-Central,Finance,Enterprise,,,
TXN-0001028,Customer Payment,2024-03-17,Mar 2024,CUS-148060,Undeposited,Yes,Initech Partners,4000,Revenue,Promotion credit,,,,,,EUR,1.09,11547.66,0.0,11547.66,12586.95,Enso EU,US-West,HR,Internal,,ACH,
TXN-0001029,Invoice,2024-03-01,Mar 2024,INV-307568,Partially Paid,Yes,Aperture Corp,4200,Product Revenue,Cloud services,SKU-SUP-PREM,Premium Support,5.54,Month,1532.22,EUR,1.09,21570.16,1078.51,22648.67,23511.47,Enso US,EU-Central,R&D,Internal,Due on Receipt,,
TXN-0001030,Expense Report,2024-03-07,Mar 2024,EXP-384926,Approved,Yes,KPMG,6000,Sales & Marketing,Subscription,SKU-ENSO-TEAM,Enso Team License,4.72,Each,572.22,GBP,1.27,487.21,24.36,511.57,618.76,Enso US,UK-South,Marketing,Mid-Market,,,
TXN-0001031,Bill,2024-03-13,Mar 2024,BIL-990178,Paid In Full,Yes,Zoom,5000,COGS,License renewal,SKU-ENSO-TEAM,Enso Team License,4.52,Each,2332.73,USD,1.0,14437.81,721.89,15159.7,14437.81,Enso US,UK-South,Marketing,Internal,Net 30,,
TXN-0001032,Item Receipt,2024-03-13,Mar 2024,ITE-280315,Received,Yes,Accenture,1200,Inventory,Consulting services,SKU-ENSO-TEAM,Enso Team License,1.0,Each,815.27,USD,1.0,15844.35,0.0,15844.35,15844.35,Enso US,UK-South,R&D,Internal,,,
TXN-0001033,Journal Entry,2024-03-22,Mar 2024,JOU-215725,Posted,Yes,Cloudflare,5200,Merchant Fees,Cloud services,,,,,,USD,1.0,32733.96,0.0,32733.96,32733.96,Enso EU,EU-Central,HR,Mid-Market,,,
TXN-0001034,Vendor Payment,2024-03-18,Mar 2024,VEN-711473,Processed,Yes,KPMG,6100,R&D Expense,Subscription,,,,,,USD,1.0,10551.47,0.0,10551.47,10551.47,Enso US,UK-South,Sales,Enterprise,,Wire,
TXN-0001035,Vendor Payment,2024-03-28,Mar 2024,VEN-412419,Processed,Yes,Deloitte,5000,COGS,Training session,,,,,,USD,1.0,1741.19,0.0,1741.19,1741.19,Enso US,EU-Central,Sales,Internal,,ACH,
TXN-0001036,Invoice,2024-03-16,Mar 2024,INV-923340,Open,Yes,Umbrella Corp,4000,Revenue,Quarterly true-up,SKU-ENSO-PRO,Enso Pro License,2.7,Each,252.03,USD,1.0,2478.91,123.95,2602.86,2478.91,Enso US,US-West,R&D,Internal,Net 45,,
TXN-0001037,Bill,2024-03-05,Mar 2024,BIL-470792,Partially Paid,Yes,Fastly,6100,R&D Expense,Consulting services,SKU-TRNG-01,Admin Training,6.65,Hour,1854.17,USD,1.0,4340.98,412.39,4753.37,4340.98,Enso EU,US-West,Marketing,Mid-Market,Net 30,,
TXN-0001038,Bill,2024-03-23,Mar 2024,BIL-992703,Paid In Full,Yes,Microsoft,5000,COGS,Consulting services,SKU-SUP-PREM,Premium Support,6.69,Month,1336.75,GBP,1.27,2790.07,265.06,3055.13,3543.39,Enso EU,US-East,HR,Mid-Market,Net 45,,
TXN-0001039,Invoice,2024-03-17,Mar 2024,INV-905428,Partially Paid,Yes,Stark Corp,4000,Revenue,Hardware purchase,SKU-ENSO-TEAM,Enso Team License,3.94,Each,1820.6,USD,1.0,3092.46,154.62,3247.08,3092.46,Enso EU,UK-South,Finance,Internal,Net 30,,
TXN-0001040,Vendor Payment,2024-03-04,Mar 2024,VEN-183818,Processed,Yes,Fastly,6100,R&D Expense,Consulting services,,,,,,USD,1.0,3012.9,0.0,3012.9,3012.9,Enso UK,US-West,Operations,Internal,,Check,
TXN-0001041,Expense Report,2024-03-20,Mar 2024,EXP-712539,Pending Approval,Yes,Microsoft,6100,R&D Expense,Monthly charge,SKU-TRNG-01,Admin Training,3.07,Hour,1637.7,USD,1.0,10549.21,1002.17,11551.38,10549.21,Enso EU,UK-South,Sales,Internal,,,
TXN-0001042,Cash Sale,2024-03-02,Mar 2024,CAS-314842,Paid,Yes,Massive Dynamic Inc,4200,Product Revenue,Quarterly true-up,SKU-SUP-STD,Standard Support,8.38,Month,1979.73,EUR,1.09,14404.98,0.0,14404.98,15701.43,Enso UK,US-East,Marketing,Internal,,ACH,
TXN-0001043,Invoice,2024-03-12,Mar 2024,INV-177350,Open,Yes,Aperture Corp,4000,Revenue,Training session,SKU-ENSO-PRO,Enso Pro License,3.06,Each,1786.11,USD,1.0,24409.42,0.0,24409.42,24409.42,Enso US,UK-South,Sales,Internal,Net 45,,
TXN-0001044,Journal Entry,2024-03-06,Mar 2024,JOU-330178,Posted,Yes,Stripe,4100,Services Revenue,Travel & meals,,,,,,EUR,1.09,16789.7,0.0,16789.7,18300.77,Enso US,UK-South,R&D,Mid-Market,,,
TXN-0001045,Vendor Payment,2024-03-22,Mar 2024,VEN-549318,Processed,Yes,Deloitte,6100,R&D Expense,Monthly charge,,,,,,USD,1.0,9127.43,0.0,9127.43,9127.43,Enso US,UK-South,Sales,Internal,,ACH,
TXN-0001046,Vendor Credit,2024-03-05,Mar 2024,VEN-899234,Open,Yes,Fastly,6000,Sales & Marketing,Quarterly true-up,SKU-ENSO-TEAM,Enso Team License,6.05,Each,1142.95,USD,1.0,-14647.77,0.0,-14647.77,-14647.77,Enso EU,US-West,Finance,SMB,,,
TXN-0001047,Invoice,2024-03-06,Mar 2024,INV-721100,Open,Yes,Cyberdyne LLC,4000,Revenue,Cloud services,SKU-ENSO-PRO,Enso Pro License,9.15,Each,1361.33,USD,1.0,2145.49,203.82,2349.31,2145.49,Enso UK,US-East,Operations,Mid-Market,Net 30,,
TXN-0001048,Cash Sale,2024-03-02,Mar 2024,CAS-602170,Paid,Yes,Aperture LLC,4100,Services Revenue,Support plan,SKU-TRNG-01,Admin Training,4.56,Hour,3963.24,USD,1.0,16555.02,1448.56,18003.58,16555.02,Enso UK,UK-South,Operations,Mid-Market,,ACH,
TXN-0001049,Cash Sale,2024-03-06,Mar 2024,CAS-671831,Paid,Yes,Initech LLC,4100,Services Revenue,Monthly charge,SKU-ENSO-TEAM,Enso Team License,9.26,Each,272.83,USD,1.0,12965.43,0.0,12965.43,12965.43,Enso EU,UK-South,Finance,Mid-Market,,Credit Card,
TXN-0001050,Journal Entry,2024-03-25,Mar 2024,JOU-575615,Posted,Yes,Deloitte,4200,Product Revenue,Support plan,,,,,,USD,1.0,1137.26,0.0,1137.26,1137.26,Enso EU,UK-South,HR,SMB,,,
TXN-0001051,Customer Payment,2024-03-23,Mar 2024,CUS-978659,Deposited,Yes,Stark Inc,4000,Revenue,Consulting services,,,,,,USD,1.0,4170.9,0.0,4170.9,4170.9,Enso US,US-West,Finance,Internal,,Check,
TXN-0001052,Credit Memo,2024-03-07,Mar 2024,CRE-237651,Applied,Yes,Globex Partners,4200,Product Revenue,License renewal,SKU-SUP-STD,Standard Support,6.08,Month,2270.56,USD,1.0,-2230.94,0.0,-2230.94,-2230.94,Enso UK,US-East,Marketing,Enterprise,,,
TXN-0001053,Bill,2024-03-06,Mar 2024,BIL-858444,Open,Yes,Cloudflare,5000,COGS,Inventory receipt,SKU-TRNG-01,Admin Training,1.01,Hour,137.65,USD,1.0,4329.35,216.47,4545.82,4329.35,Enso US,UK-South,Finance,SMB,Net 45,,
